age,mx_males_UK,mx_females_UK,mx_males_FR,mx_females_FR,p_death_males_annual_NL,p_death_females_annual_NL
0,0.004233,0.003509,0.00404,0.00366,0.0032,0.0029
1,0.000229,0.000214,0.00031,0.00025,0.0004,0.0003
2,0.000127,0.000114,0.00018,0.00016,0.0002,0.0002
3,0.000102,0.000095,0.00014,0.00011,0.0002,0.0001
4,0.000086,0.000064,0.0001,0.0001,0.0001,0
5,0.000074,0.000074,0.00009,0.00011,0.0001,0.0001
6,0.000085,0.000071,0.00008,0.00006,0.0001,0
7,0.000067,0.000055,0.00009,0.00006,0.0001,0.0001
8,0.000069,0.000058,0.00005,0.00006,0.0001,0.0001
9,0.00006,0.000051,0.00009,0.00005,0.0001,0.0001
10,0.000078,0.000066,0.00006,0.00007,0.0001,0.0001
11,0.000077,0.000055,0.00008,0.00007,0.0001,0.0002
12,0.000102,0.000057,0.00009,0.00007,0.0001,0.0001
13,0.000116,0.000087,0.0001,0.00008,0.0001,0.0001
14,0.000129,0.000096,0.00014,0.00009,0.0001,0.0001
15,0.000172,0.000113,0.00018,0.0001,0.0002,0.0002
16,0.000205,0.000131,0.00027,0.00012,0.0002,0.0001
17,0.000311,0.000158,0.0003,0.00012,0.0002,0.0001
18,0.000402,0.000218,0.0004,0.00019,0.0003,0.0002
19,0.000454,0.000212,0.00048,0.00017,0.0003,0.0002
20,0.000525,0.000187,0.00056,0.00022,0.0004,0.0001
21,0.000507,0.000211,0.00057,0.00017,0.0004,0.0002
22,0.000498,0.000245,0.00061,0.00023,0.0004,0.0002
23,0.000524,0.000215,0.00058,0.00019,0.0004,0.0003
24,0.000556,0.000223,0.00062,0.00025,0.0004,0.0002
25,0.000601,0.00026,0.00063,0.00021,0.0005,0.0003
26,0.000607,0.000257,0.00062,0.00022,0.0003,0.0002
27,0.00063,0.00031,0.00066,0.00024,0.0004,0.0002
28,0.000681,0.000314,0.0007,0.00026,0.0004,0.0004
