age,utility_NL,utility_UK,utility_England,utility_FR
18,0.95,0.94,0.929,0.948
19,0.95,0.94,0.929,0.948
20,0.95,0.94,0.929,0.948
21,0.95,0.94,0.929,0.948
22,0.95,0.94,0.929,0.948
23,0.95,0.94,0.929,0.948
24,0.95,0.94,0.929,0.948
25,0.927,0.927,0.919,0.946
26,0.927,0.927,0.919,0.946
27,0.927,0.927,0.919,0.946
28,0.927,0.927,0.919,0.946
29,0.927,0.927,0.919,0.946
30,0.927,0.927,0.919,0.946
31,0.927,0.927,0.919,0.946
32,0.927,0.927,0.919,0.946
33,0.927,0.927,0.919,0.946
34,0.927,0.927,0.919,0.946
35,0.935,0.911,0.893,0.913
36,0.935,0.911,0.893,0.913
37,0.935,0.911,0.893,0.913
38,0.935,0.911,0.893,0.913
39,0.935,0.911,0.893,0.913
40,0.935,0.911,0.893,0.913
41,0.935,0.911,0.893,0.913
42,0.935,0.911,0.893,0.913
43,0.935,0.911,0.893,0.913
44,0.935,0.911,0.893,0.913
45,0.89,0.847,0.855,0.922
46,0.89,0.847,0.855,0.922
47,0.89,0.847,0.855,0.922
48,0.89,0.847,0.855,0.922
49,0.89,0.847,0.855,0.922
50,0.89,0.847,0.855,0.922
51,0.89,0.847,0.855,0.922
52,0.89,0.847,0.855,0.922
53,0.89,0.847,0.855,0.922
54,0.89,0.847,0.855,0.922
55,0.89,0.799,0.81,0.853
56,0.89,0.799,0.81,0.853
57,0.89,0.799,0.81,0.853
58,0.89,0.799,0.81,0.853
59,0.89,0.799,0.81,0.853
60,0.89,0.799,0.81,0.853
61,0.89,0.799,0.81,0.853
62,0.89,0.799,0.81,0.853
63,0.89,0.799,0.81,0.853
64,0.89,0.799,0.81,0.853
65,0.886,0.779,0.773,0.81
66,0.886,0.779,0.773,0.81
67,0.886,0.779,0.773,0.81
68,0.886,0.779,0.773,0.81
69,0.886,0.779,0.773,0.81
70,0.886,0.779,0.773,0.81
71,0.886,0.779,0.773,0.81
72,0.886,0.779,0.773,0.81
73,0.886,0.779,0.773,0.81
74,0.886,0.779,0.773,0.81
75,0.83,0.726,0.703,0.735
76,0.83,0.726,0.703,0.735
77,0.83,0.726,0.703,0.735
78,0.83,0.726,0.703,0.735
79,0.83,0.726,0.703,0.735
80,0.83,0.726,0.703,0.735
81,0.83,0.726,0.703,0.735
82,0.83,0.726,0.703,0.735
83,0.83,0.726,0.703,0.735
84,0.83,0.726,0.703,0.735
85,0.83,0.726,0.703,0.735
86,0.83,0.726,0.703,0.735
87,0.83,0.726,0.703,0.735
88,0.83,0.726,0.703,0.735
89,0.83,0.726,0.703,0.735
90,0.83,0.726,0.703,0.735
91,0.83,0.726,0.703,0.735
92,0.83,0.726,0.703,0.735
93,0.83,0.726,0.703,0.735
94,0.83,0.726,0.703,0.735
95,0.83,0.726,0.703,0.735
96,0.83,0.726,0.703,0.735
97,0.83,0.726,0.703,0.735
98,0.83,0.726,0.703,0.735
99,0.83,0.726,0.703,0.735
100,0.83,0.726,0.703,0.735
101,0.83,0.726,0.703,0.735
102,0.83,0.726,0.703,0.735
103,0.83,0.726,0.703,0.735
104,0.83,0.726,0.703,0.735
105,0.83,0.726,0.703,0.735
106,0.83,0.726,0.703,0.735
107,0.83,0.726,0.703,0.735
108,0.83,0.726,0.703,0.735
109,0.83,0.726,0.703,0.735
110,0.83,0.726,0.703,0.735
111,0.83,0.726,0.703,0.735
112,0.83,0.726,0.703,0.735
113,0.83,0.726,0.703,0.735
114,0.83,0.726,0.703,0.735
115,0.83,0.726,0.703,0.735
116,0.83,0.726,0.703,0.735
117,0.83,0.726,0.703,0.735
118,0.83,0.726,0.703,0.735
119,0.83,0.726,0.703,0.735
120,0.83,0.726,0.703,0.735
